Wavenumbers	Absorbance	
3867.000	0.04306892	
3866.500	0.04212454	
3866.000	0.04115511	
3865.500	0.04013688	
3865.000	0.03915937	
3864.500	0.03834206	
3864.000	0.0376933	
3863.500	0.03711783	
3863.000	0.03649598	
3862.500	0.03573696	
3862.000	0.03475704	
3861.500	0.03350088	
3861.000	0.03224767	
3860.500	0.03162801	
3860.000	0.03161885	
3859.500	0.03180654	
3859.000	0.03238793	
3858.500	0.03388985	
3858.000	0.03638651	
3857.500	0.03942353	
3857.000	0.04249875	
3856.500	0.04548636	
3856.000	0.04841794	
3855.500	0.05116688	
3855.000	0.05340919	
3854.500	0.05486203	
3854.000	0.05546742	
3853.500	0.05525056	
3853.000	0.05419437	
3852.500	0.05222247	
3852.000	0.04945196	
3851.500	0.04621092	
3851.000	0.04310241	
3850.500	0.04039651	
3850.000	0.03771178	
3849.500	0.03503499	
3849.000	0.03299419	
3848.500	0.03193419	
3848.000	0.03160774	
3847.500	0.03172546	
3847.000	0.0322167	
3846.500	0.03313604	
3846.000	0.03429944	
3845.500	0.03539732	
3845.000	0.0362459	
3844.500	0.03706553	
3844.000	0.03813645	
3843.500	0.03936524	
3843.000	0.04057463	
3842.500	0.04182175	
3842.000	0.04330488	
3841.500	0.04519768	
3841.000	0.04742593	
3840.500	0.04967014	
3840.000	0.05159651	
3839.500	0.05302354	
3839.000	0.05404125	
3838.500	0.0549338	
3838.000	0.0559634	
3837.500	0.05706994	
3837.000	0.05796339	
3836.500	0.0584258	
3836.000	0.05851292	
3835.500	0.05845388	
3835.000	0.05851623	
3834.500	0.05882239	
3834.000	0.05925277	
3833.500	0.0596722	
3833.000	0.060251	
3832.500	0.0612427	
3832.000	0.06265076	
3831.500	0.06425261	
3831.000	0.06571744	
3830.500	0.06685324	
3830.000	0.0677216	
3829.500	0.06843975	
3829.000	0.06905194	
3828.500	0.06960888	
3828.000	0.07019673	
3827.500	0.07078609	
3827.000	0.07126521	
3826.500	0.07162178	
3826.000	0.07197245	
3825.500	0.07238994	
3825.000	0.07282564	
3824.500	0.07316165	
3824.000	0.07325157	
3823.500	0.07300041	
3823.000	0.07243412	
3822.500	0.07172651	
3822.000	0.07087462	
3821.500	0.06973765	
3821.000	0.06843096	
3820.500	0.06721665	
3820.000	0.0661937	
3819.500	0.06526978	
3819.000	0.06432271	
3818.500	0.06335473	
3818.000	0.06244285	
3817.500	0.06152394	
3817.000	0.06042533	
3816.500	0.05913151	
3816.000	0.05781064	
3815.500	0.05654852	
3815.000	0.05525485	
3814.500	0.05375493	
3814.000	0.05205352	
3813.500	0.05047168	
3813.000	0.04929739	
3812.500	0.04848697	
3812.000	0.04782466	
3811.500	0.04743185	
3811.000	0.04768768	
3810.500	0.0487219	
3810.000	0.05023744	
3809.500	0.05178588	
3809.000	0.05301066	
3808.500	0.05388198	
3808.000	0.05463874	
3807.500	0.05542359	
3807.000	0.05611621	
3806.500	0.05668182	
3806.000	0.05729607	
3805.500	0.05810164	
3805.000	0.05907105	
3804.500	0.0600684	
3804.000	0.06099773	
3803.500	0.06181293	
3803.000	0.06240779	
3802.500	0.06270353	
3802.000	0.06282776	
3801.500	0.06289294	
3801.000	0.0628854	
3800.500	0.06273191	
3800.000	0.06235549	
3799.500	0.06171491	
3799.000	0.06084255	
3798.500	0.05989007	
3798.000	0.05901335	
3797.500	0.0581885	
3797.000	0.05737494	
3796.500	0.05676106	
3796.000	0.05654068	
3795.500	0.05667274	
3795.000	0.05693486	
3794.500	0.05712293	
